scientific,common,family,habitat,c_fert,c_court,c_system,c_choice,mate_choice_index,note,mating_mode,n_images,_p_fish,_ratio,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,Indian oil sardine,Clupeidae,marine,0,0,0,0,0.0,"pelagic mass spawn, silver",Broadcast / group spawn,11,0.4344246983528137,0.9817546942981162,22.575356616596775,2.9747285369919125,0.16202777823689185,0.32941176470588235,0.01134020618556701,5.0,55.87835754557615,0.30279388508170796,4.564670936452918,0.3501144164759725,0.7506286887349243,3.842312216573868,0.5414719626168224
Katsuwonus pelamis,Skipjack tuna,Scombridae,marine,0,0,0,0,0.0,pelagic broadcast,Broadcast / group spawn,25,0.6937624216079712,0.9953233077528032,21.08296701272552,2.829436056455895,0.18931684456169895,0.4,0.012500479312857088,5.0,52.38148243873916,0.21364664005002645,2.5219222793373812,0.5425,0.7595568420001996,3.509255605864082,0.5171643786070356
Lutjanus campechanus,Red snapper,Lutjanidae,marine,0,0,0,0,0.0,aggregation spawn,Broadcast / group spawn,25,0.36653822660446167,0.9609075863389547,42.17139414152085,2.352868477781131,0.26074405565163544,0.49411764705882355,0.02193538897162925,5.0,41.35561539696961,0.22710834017439152,1.9804426755499362,0.6220095693779905,0.7733488620371718,3.1122762699666535,0.5195124090151715
Epinephelus striatus,Nassau grouper,Serranidae,marine,0,1,0,0,0.83,huge spawning aggregations,Broadcast / group spawn,25,0.30662912130355835,0.9304882402093342,35.71386453487334,1.625610191116459,0.4035631111138951,0.5411764705882353,0.05452111955280872,4.0,29.658716245937665,0.08973362930077691,2.109811652920806,0.61003861003861,0.8548272533556741,2.305972661766835,0.5307672165488347
Acanthurus coeruleus,Atlantic blue tang,Acanthuridae,marine,0,0,0,1,0.83,group spawn,Broadcast / group spawn,25,0.46196046471595764,0.947195490526938,67.3067892901247,1.3882622129819748,0.7064855351251913,0.9411764705882353,0.8389864728447406,4.0,20.485400607538455,0.03542402101633692,1.5800542674657607,0.7157534246575342,0.8928691736255163,1.9587760514153227,0.5989599593002417
Paracanthurus hepatus,Blue tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: brilliant blue, aggregation spawner",Broadcast / group spawn,25,0.2514648139476776,0.8504342754942823,109.90504452041355,2.0068677894969356,0.7700020935176493,0.984313725490196,0.8762000210992721,4.0,41.145585443643576,0.08369861880737739,2.099769736787886,0.54,0.899071814745706,1.8982896058106131,0.6182879377431907
Zebrasoma flavescens,Yellow tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: vivid yellow, aggregation spawner",Broadcast / group spawn,25,0.4590412676334381,0.9695537885904578,86.48833317390793,1.039850915420128,0.891977548805676,0.9921568627450981,0.9873211963589077,4.0,22.940632815105108,0.03640612508455814,1.8194922447500828,0.7175572519083969,0.8813738776893105,1.8987192370208623,0.5536517518939394
Mulloidichthys vanicolensis,Yellowfin goatfish,Mullidae,marine,0,0,0,1,0.83,group spawn,Broadcast / group spawn,25,0.46777865290641785,0.9610100915313046,63.52886981920686,3.3350849261357083,0.3749617093869176,0.6941176470588235,0.2244930801416157,5.0,30.835057608848622,0.11719437739599603,2.9410820390681005,0.5313432835820896,0.6128006564439202,4.162874198712558,0.37806711730892056
Paracheirodon axelrodi,Cardinal tetra,Characidae,freshwater,1,1,0,1,2.5,"TRAP: neon but egg-scatterer, low choice",Pelagic pair spawn,8,0.1523047536611557,0.8608899041039737,91.6051056166273,3.043161374840894,0.5086181415886053,0.8372549019607843,0.41985735108252753,5.5,47.46425197560212,0.21663286834063727,3.831728137773986,0.3250137487370346,0.6994108587643023,4.045794766172533,0.46664378907194526
Paracheirodon innesi,Neon tetra,Characidae,freshwater,1,1,0,1,2.5,TRAP: neon egg-scatterer,Pelagic pair spawn,1,0.019844453781843185,0.8427325742350742,49.652583781090506,3.7800868805092125,0.3282129656727257,0.8352941176470589,0.17136539524599226,5.0,70.16495923064167,0.24930901050304036,7.091275172882296,0.22131147540983606,0.8313133811526094,3.5243250284272083,0.5101700060716454
Danio rerio,Zebrafish,Cyprinidae,freshwater,1,1,0,1,2.5,"scatter spawner, some chasing",Pelagic pair spawn,25,0.1100618988275528,0.9329034560412061,33.88063952795386,2.2802760052979494,0.26640744097973,0.4980392156862745,0.03976475052172263,5.0,40.15001220286913,0.23051602284829123,3.301966349640118,0.46619217081850534,0.7983247556935387,3.4049830664534184,0.45431720498744627
Puntigrus tetrazona,Tiger barb,Cyprinidae,freshwater,1,1,0,1,2.5,egg scatterer,Pelagic pair spawn,25,0.3258754014968872,0.9607829491900851,30.58043575656442,2.354778441007569,0.2943342073134119,0.5411764705882353,0.05700920917994445,6.0,49.63693635929742,0.21439648487981391,1.994310056822932,0.6283185840707964,0.7540061370610297,2.6709291211525175,0.5120793454769991
Trigonostigma heteromorpha,Harlequin rasbora,Cyprinidae,freshwater,1,1,0,1,2.5,plant spawner,Pelagic pair spawn,25,0.16428476572036743,0.9473358231564648,42.442937888656886,2.5771144037083986,0.3320448732852825,0.5607843137254902,0.07873134328358208,5.0,39.46538864035802,0.22949604743083005,3.3288248688080846,0.3412698412698413,0.6602172437202987,4.408007072067467,0.4200201207243461
Zanclus cornutus,Moorish idol,Zanclidae,marine,1,1,1,1,3.33,pelagic pair spawn,Pelagic pair spawn,24,0.23998770117759705,0.8323764066051158,53.52864174888438,2.6881665996616393,0.41267525766331936,0.7078431372549019,0.19031894517715864,5.0,72.56107415412043,0.107078020711629,1.4075457254591095,1.046002725706498,0.6164846132090349,4.041399424709039,0.38572388556970694
Pterois volitans,Red lionfish,Scorpaenidae,marine,1,1,2,1,4.17,"TRAP: striking = aposematic warning, not display",Harem / sex-changer,25,0.4722684323787689,0.9776783976075345,35.2340841281197,2.915706829677242,0.35147514904733757,0.6941176470588235,0.16573626100980027,5.0,48.936361507160136,0.2717950658392614,1.3942416351218916,0.8394495412844036,0.6678203864579274,5.638979475078578,0.4553971636417077
Chaetodon auriga,Threadfin butterflyfish,Chaetodontidae,marine,1,1,1,2,4.17,long-term monogamous pairs,Pelagic pair spawn,25,0.5054473876953125,0.9787405622134682,86.17886155771487,2.676930676179464,0.46557191344012805,0.9450980392156862,0.3514737215909091,5.0,42.224017692663104,0.11084252576149621,1.4491071025536453,0.8051948051948052,0.9024953789279113,1.722927604243448,0.6297862835238
Chaetodon lunula,Raccoon butterflyfish,Chaetodontidae,marine,1,1,1,2,4.17,monogamous pairs,Pelagic pair spawn,25,0.48129647970199585,0.9735102052621282,78.8194423054934,2.7042031651854512,0.6310338611187826,0.9411764705882353,0.5644881757701123,5.0,51.588637542776816,0.10161910725467395,1.4776540419306403,0.756838905775076,0.9469042263525512,1.5873989193500904,0.6834572331880714
Amphiprion ocellaris,Clown anemonefish,Pomacentridae,marine,2,1,1,1,4.17,monogamous; orange partly symbiotic,Nest builder / guarder,25,0.4974565804004669,0.9439170144818874,90.31149492546169,2.0220486171279064,0.6507892565442521,0.9294117647058824,0.6048174219093708,5.0,46.69804020237501,0.07996167735278945,1.5427495024410642,0.8897058823529411,0.8263607792303083,2.4692127307116882,0.5444655081621906
Amphiprion percula,Orange clownfish,Pomacentridae,marine,2,1,1,1,4.17,monogamous pair,Nest builder / guarder,25,0.5006213784217834,0.9429574403579056,117.57117367621308,2.256261856323722,0.7317918925479409,0.9921568627450981,0.7205307262569832,5.0,48.29576498339136,0.08461352851282876,1.5178210160361578,0.8121546961325967,0.8173732643168187,2.2517781907895933,0.5388785385292139
Chromis viridis,Blue-green chromis,Pomacentridae,marine,2,1,0,2,4.17,"male nest, females choose",Nest builder / guarder,25,0.42065054178237915,0.9591901054546911,58.16543904202071,2.9142117641634706,0.45283078585765013,0.7490196078431373,0.2480971128608924,5.0,30.674927273930713,0.07396251673360107,2.248717862856015,0.504950495049505,0.7734919924328851,2.8294932883352972,0.5308490442524221
Dascyllus aruanus,Humbug dascyllus,Pomacentridae,marine,2,1,1,2,5.0,nest-tending damselfish,Nest builder / guarder,25,0.21898700296878815,0.8851036349721603,33.40077558225545,2.102835644607083,0.4585762068912583,0.7568627450980392,0.3216132368148914,4.0,71.45655268966725,0.07434544243480043,1.573914945308211,0.872093023255814,0.8727331606217616,1.838333329935136,0.5952682386453553
Chrysiptera cyanea,Sapphire devil,Pomacentridae,marine,2,1,1,2,5.0,"male nest, female choice",Nest builder / guarder,25,0.3117843270301819,0.930946284711729,102.35803261145662,1.4171062960535832,0.8804275410110654,1.0,0.9154030327214685,5.0,19.609088013645295,0.060159727677402464,2.2305447205591187,0.5227272727272727,0.8612020703496356,2.300138993818351,0.542990342990343
Elacatinus oceanops,Neon goby,Gobiidae,marine,2,1,1,1,4.17,"pair, male tends eggs",Nest builder / guarder,20,0.014822736848145723,0.7136272260985446,66.7152891639495,2.299734721087318,0.5215502051559288,0.807843137254902,0.3729721187326227,5.5,52.482048425848035,0.17880104819451603,5.220454424729317,0.4418145734196342,0.7766934726262678,3.7272706517517022,0.383074735087062
Ecsenius bicolor,Bicolor blenny,Blenniidae,marine,2,1,2,2,5.83,"male nest, female choice",Nest builder / guarder,25,0.29400238394737244,0.911172623693897,47.569261533281555,2.8613277865195483,0.4434672937850843,0.7607843137254902,0.27076265862545545,5.0,37.91248729590452,0.05660797860485848,2.605364751535074,0.6205962059620597,0.8560845245494095,2.667632475089002,0.507190327981675
Pterapogon kauderni,Banggai cardinalfish,Apogonidae,marine,3,1,1,2,5.83,"paternal mouthbrooder, pair",Mouthbrooder,10,0.025881465524435043,0.6011397611218066,52.58232409797315,2.7958728248086193,0.5702226847555312,1.0,0.4839221014492754,5.0,65.01336875318958,0.2360220343795596,1.709558154295868,1.103896103896104,0.7666263536016646,2.9542451699351817,0.4534032632955258
Balistoides conspicillum,Clown triggerfish,Balistidae,marine,2,1,2,1,5.0,"TRAP: bold pattern, haremic nester",Nest builder / guarder,24,0.19612545520067215,0.8105928904720021,43.420880817526516,3.2273836835262903,0.3775682882005357,0.7490196078431373,0.20509289289213348,5.0,63.594590598581846,0.149914562678918,1.926903388391323,0.5697915606230276,0.8637226184105051,2.2976700414269553,0.6463376656892255
Rhinecanthus aculeatus,Picasso triggerfish,Balistidae,marine,2,1,2,1,5.0,"nest, haremic",Nest builder / guarder,25,0.2957097291946411,0.8800795263027795,42.672099675534106,3.0221135852846137,0.23813007732211022,0.5372549019607843,0.04934219913815245,5.0,49.701028637440515,0.09128149889019455,2.0378478896340653,0.5340136054421769,0.8547010636997188,2.4713756956143773,0.5554140543364682
Ostracion cubicus,Yellow boxfish,Ostraciidae,marine,1,2,2,2,5.83,"haremic, male display",Harem / sex-changer,25,0.32097968459129333,0.9526194001722296,83.04115251257588,2.167106594199237,0.6284972467943614,0.9686274509803922,0.6553694843168527,5.0,37.19191874234474,0.11988304093567251,1.958203929741618,0.6506550218340611,0.8143733189887036,2.2100767023801104,0.5932680400765508
Oxycirrhites typus,Longnose hawkfish,Cirrhitidae,marine,1,1,2,1,4.17,haremic,Harem / sex-changer,25,0.08968760073184967,0.7733400494190389,79.47906662844059,2.253974531044902,0.5266166204199433,0.8941176470588236,0.40350703388151377,5.0,38.261605867957726,0.23325685567573473,2.2743216333360308,0.6717325227963525,0.6905597693223845,3.8066278491476138,0.38088172043010754
Pomacanthus imperator,Emperor angelfish,Pomacanthidae,marine,1,2,2,2,5.83,haremic male display at dusk,Harem / sex-changer,25,0.4417778551578522,0.9497886548932932,75.80287928453926,3.3132380207349144,0.5586238395683301,0.9568627450980393,0.4294164828554241,5.0,55.49130660493828,0.19382079142288958,1.5802748648889204,0.6809815950920245,0.9319301308487802,1.7638355251691502,0.6461749583101724
Centropyge bicolor,Bicolor angelfish,Pomacanthidae,marine,1,2,2,2,5.83,"haremic, protogynous",Harem / sex-changer,25,0.5573655962944031,0.9896175773866672,135.97295672695031,2.3752499800049875,0.8749076776797715,1.0,0.9272350927473927,5.0,65.44664343174328,0.05679074027812474,2.0412280744345734,0.6112676056338028,0.9003946465339739,1.978822730813037,0.6170260333863276
Thalassoma bifasciatum,Bluehead wrasse,Labridae,marine,1,2,3,2,6.67,"terminal males defend, females choose",Harem / sex-changer,25,0.18809664249420166,0.9167445905259409,64.20599109557085,3.140858194198314,0.5866730997431117,0.8666666666666667,0.48199348860505886,5.0,40.4293188791468,0.11018217875682927,4.048264151680608,0.4472049689440994,0.814410644954578,3.1168113614033617,0.40519359145527367
Labroides dimidiatus,Cleaner wrasse,Labridae,marine,1,1,2,1,4.17,"haremic, protogynous",Harem / sex-changer,25,0.4267156422138214,0.916930540930492,68.54328340940742,2.5350526837690808,0.4649816012897417,0.7372549019607844,0.27330533193326334,6.0,48.358890040553895,0.1452579278094403,2.325903619146399,0.6521739130434783,0.7745652106035532,3.1638780702438116,0.4109501526616222
Scarus quoyi,Quoy's parrotfish,Scaridae,marine,1,2,2,2,5.83,"harem, terminal-male display",Harem / sex-changer,25,0.30735868215560913,0.9339068070004303,68.21952548568123,3.261326115448389,0.5123443816973304,0.8470588235294118,0.2949418523189015,5.0,20.898626822514366,0.04126870990734141,2.3933704188385065,0.5565217391304348,0.8262982737567937,2.2173998120394893,0.5164567765601025
Pseudanthias squamipinnis,Sea goldie (anthias),Serranidae,marine,1,2,3,2,6.67,"haremic, protogynous, male courts",Harem / sex-changer,25,0.49490588903427124,0.9750156882427091,74.49653529406864,2.45838024281191,0.6263974549972119,0.792156862745098,0.5956164862032832,5.0,27.48078148183787,0.073027356997513,2.1798893894691433,0.6220472440944882,0.7441346271956762,2.951512369251778,0.4252780615140166
Cyphotilapia frontosa,Frontosa cichlid,Cichlidae,freshwater,3,1,2,1,5.83,polygynous mouthbrooder,Mouthbrooder,17,0.2852798402309418,0.9521230864037192,37.8020788632207,1.852282851555788,0.3738865391545077,0.7176470588235294,0.16524778590268693,5.0,36.68601686354578,0.1734654608427939,2.214845194751941,0.6132723112128147,0.7880998804956286,2.4450508048308066,0.49608782825566045
Symphysodon aequifasciatus,Discus,Cichlidae,freshwater,2,2,1,2,5.83,"monogamous biparental, mutual choice",Nest builder / guarder,3,0.07071834057569504,0.7790709754071283,29.830862894889915,2.746149403199152,0.22234413974487158,0.41568627450980394,0.01597167710619483,5.0,41.661432138113476,0.2329412892709898,1.0863262246657834,0.8990228013029316,0.9353716338606448,1.5140911395990415,0.6987519974792374
Pterophyllum scalare,Freshwater angelfish,Cichlidae,freshwater,2,1,1,2,5.0,monogamous pair,Nest builder / guarder,25,0.18281330168247223,0.9138618553592349,25.431538450619033,2.3199862161765945,0.23387170394675932,0.5254901960784314,0.0637583081570997,6.0,53.96428344202714,0.2508994827973915,1.4718518770120612,0.7815533980582524,0.6873606160532184,3.5577567041276272,0.45509120295543753
Apistogramma cacatuoides,Cockatoo dwarf cichlid,Cichlidae,freshwater,2,2,2,2,6.67,"harem, male display",Nest builder / guarder,2,0.04668048210442066,0.615733523205195,42.54415017972123,1.4106248253195046,0.6034201693119322,0.7470588235294118,0.48832852699259094,5.0,36.66773851346765,0.1860499738522972,1.9660375999114676,0.6524899732620321,0.9064224991390964,2.2661418285917296,0.5908820765148164
Neolamprologus brichardi,Fairy cichlid,Cichlidae,freshwater,2,1,1,1,4.17,monogamous cooperative,Nest builder / guarder,1,0.40189996361732483,0.9370208212024086,29.650301794103243,2.6838610627979835,0.2980202709102965,0.42745098039215684,0.017512077294685992,5.0,31.072405464355494,0.10431763285024155,2.53763338624042,0.5906040268456376,0.7836799414527048,2.552756421443157,0.4900091519219036
Tropheus moorii,Blunthead cichlid,Cichlidae,freshwater,3,2,2,2,7.5,"mouthbrooder, male display",Mouthbrooder,20,0.10128872841596603,0.8875779767863721,28.27689809662838,2.883027718918532,0.2801501300916469,0.45686274509803926,0.029683288229430872,4.0,26.12704484599677,0.07032230901751119,2.7178504367801475,0.6253140542480644,0.8331716162955922,2.48057351094009,0.48246719576799385
Maylandia zebra,Zebra mbuna,Cichlidae,freshwater,3,2,3,2,8.33,"male territory display, mouthbrooder",Mouthbrooder,15,0.331828773021698,0.9029420434851211,46.410853830329756,2.9183409026855327,0.3623454631431933,0.592156862745098,0.08789456010745467,6.0,45.51687085143635,0.18613920396342032,2.7342357332353364,0.5088495575221239,0.8415716982451233,2.6070344803014547,0.5354866828087167
Aulonocara stuartgranti,Peacock cichlid,Cichlidae,freshwater,3,3,3,3,10.0,"lek-like male display, female choice",Mouthbrooder,16,0.48046641051769257,0.9788898217573451,34.423828004660066,3.1584717199461485,0.24823903869314828,0.3686274509803922,0.0028437679639978677,5.0,29.355243831876983,0.20366435895663537,2.501472934729362,0.5036933093848226,0.8212742269610573,2.9578778451653234,0.5282613089044218
Trichogaster lalius,Dwarf gourami,Osphronemidae,freshwater,2,2,2,2,6.67,"bubble nest, courts",Nest builder / guarder,25,0.2553367614746094,0.9258698140215221,39.25003462111238,2.9281771228418467,0.351771259659941,0.5490196078431373,0.060110896412669076,5.0,39.3831640948972,0.2666278910633639,2.2491078669725715,0.5146443514644351,0.9328275214393397,2.005789724375212,0.6276401381304209
Trichopodus trichopterus,Three-spot gourami,Osphronemidae,freshwater,2,1,2,1,5.0,bubble nest,Nest builder / guarder,25,0.2686144709587097,0.9408975046033438,29.175681240056747,2.923363608368112,0.2594180073679962,0.47843137254901963,0.050647225115310224,6.0,51.89669913526673,0.2617871576111361,2.481526263401647,0.4416475972540046,0.8945071482317531,2.2136304162097358,0.6170901459551108
Macropodus opercularis,Paradise fish,Osphronemidae,freshwater,2,2,2,2,6.67,"bubble nest, display",Nest builder / guarder,25,0.24656018614768982,0.9467702807625062,35.340813495402706,2.7149060561126745,0.2923199676140853,0.5294117647058824,0.0386946386946387,5.0,27.7352087002027,0.13370195445993166,2.727973323075896,0.5358851674641149,0.8056176047771757,3.0007128040947766,0.5046803763701619
